full_text,cleansing,Tokenization and Case Folding,Filtering/stopword removal,stemming_data
"@Metro_TV Kecewa mendalam melihat seringnya data pemilih bocor, seolah Kominfo dan KPU bermain-main dengan keamanan.",MetroTV Kecewa mendalam melihat seringnya data pemilih bocor seolah Kominfo dan KPU bermainmain dengan keamanan,"['metrotv', 'kecewa', 'mendalam', 'melihat', 'seringnya', 'data', 'pemilih', 'bocor', 'seolah', 'kominfo', 'dan', 'kpu', 'bermainmain', 'dengan', 'keamanan']","['metrotv', 'kecewa', 'mendalam', 'data', 'pemilih', 'bocor', 'kominfo', 'kpu', 'bermainmain', 'keamanan']",metrotv kecewa dalam data pilih bocor kominfo kpu bermainmain aman
"@Metro_TV Kecewa adalah teman setia setiap kali mendengar data pemilih bocor, karena KPU dan Kominfo tidak mampu menjaga rahasia.",MetroTV Kecewa adalah teman setia setiap kali mendengar data pemilih bocor karena KPU dan Kominfo tidak mampu menjaga rahasia,"['metrotv', 'kecewa', 'adalah', 'teman', 'setia', 'setiap', 'kali', 'mendengar', 'data', 'pemilih', 'bocor', 'karena', 'kpu', 'dan', 'kominfo', 'tidak', 'mampu', 'menjaga', 'rahasia']","['metrotv', 'kecewa', 'teman', 'setia', 'kali', 'mendengar', 'data', 'pemilih', 'bocor', 'kpu', 'kominfo', 'menjaga', 'rahasia']",metrotv kecewa teman setia kali dengar data pilih bocor kpu kominfo jaga rahasia
"@Metro_TV Dalam catatan kegagalan, KPU dan Kominfo kerap menjadi pembicaraan ketika data pemilih bocor lagi dan lagi.",MetroTV Dalam catatan kegagalan KPU dan Kominfo kerap menjadi pembicaraan ketika data pemilih bocor lagi dan lagi,"['metrotv', 'dalam', 'catatan', 'kegagalan', 'kpu', 'dan', 'kominfo', 'kerap', 'menjadi', 'pembicaraan', 'ketika', 'data', 'pemilih', 'bocor', 'lagi', 'dan', 'lagi']","['metrotv', 'catatan', 'kegagalan', 'kpu', 'kominfo', 'kerap', 'pembicaraan', 'data', 'pemilih', 'bocor']",metrotv catat gagal kpu kominfo kerap bicara data pilih bocor
"@Metro_TV KPU dan Kominfo seakan menjalani siklus tanpa akhir: data pemilih bocor, janji keamanan diberikan, dan kemudian terulang lagi.",MetroTV KPU dan Kominfo seakan menjalani siklus tanpa akhir data pemilih bocor janji keamanan diberikan dan kemudian terulang lagi,"['metrotv', 'kpu', 'dan', 'kominfo', 'seakan', 'menjalani', 'siklus', 'tanpa', 'akhir', 'data', 'pemilih', 'bocor', 'janji', 'keamanan', 'diberikan', 'dan', 'kemudian', 'terulang', 'lagi']","['metrotv', 'kpu', 'kominfo', 'seakan', 'menjalani', 'siklus', 'data', 'pemilih', 'bocor', 'janji', 'keamanan', 'terulang']",metrotv kpu kominfo akan jalan siklus data pilih bocor janji aman ulang
@Metro_TV Data pemilih yang terus bocor adalah cerminan dari ketidakmampuan Kominfo dan KPU dalam menyusun pertahanan yang kokoh.,MetroTV Data pemilih yang terus bocor adalah cerminan dari ketidakmampuan Kominfo dan KPU dalam menyusun pertahanan yang kokoh,"['metrotv', 'data', 'pemilih', 'yang', 'terus', 'bocor', 'adalah', 'cerminan', 'dari', 'ketidakmampuan', 'kominfo', 'dan', 'kpu', 'dalam', 'menyusun', 'pertahanan', 'yang', 'kokoh']","['metrotv', 'data', 'pemilih', 'bocor', 'cerminan', 'ketidakmampuan', 'kominfo', 'kpu', 'menyusun', 'pertahanan', 'kokoh']",metrotv data pilih bocor cermin ketidakmampuan kominfo kpu susun tahan kokoh
"@Metro_TV Betapa seringnya data pemilih bocor, seperti drama berulang yang menunjukkan lemahnya jaringan pertahanan Kominfo dan KPU.",MetroTV Betapa seringnya data pemilih bocor seperti drama berulang yang menunjukkan lemahnya jaringan pertahanan Kominfo dan KPU,"['metrotv', 'betapa', 'seringnya', 'data', 'pemilih', 'bocor', 'seperti', 'drama', 'berulang', 'yang', 'menunjukkan', 'lemahnya', 'jaringan', 'pertahanan', 'kominfo', 'dan', 'kpu']","['metrotv', 'betapa', 'data', 'pemilih', 'bocor', 'drama', 'berulang', 'lemahnya', 'jaringan', 'pertahanan', 'kominfo', 'kpu']",metrotv betapa data pilih bocor drama ulang lemah jaring tahan kominfo kpu
"@Metro_TV Data pemilih bocor kembali, menandakan bahwa Kominfo dan KPU seperti menonton film yang sama berkali-kali tanpa perubahan skenario.",MetroTV Data pemilih bocor kembali menandakan bahwa Kominfo dan KPU seperti menonton film yang sama berkalikali tanpa perubahan skenario,"['metrotv', 'data', 'pemilih', 'bocor', 'kembali', 'menandakan', 'bahwa', 'kominfo', 'dan', 'kpu', 'seperti', 'menonton', 'film', 'yang', 'sama', 'berkalikali', 'tanpa', 'perubahan', 'skenario']","['metrotv', 'data', 'pemilih', 'bocor', 'menandakan', 'kominfo', 'kpu', 'menonton', 'film', 'berkalikali', 'perubahan', 'skenario']",metrotv data pilih bocor tanda kominfo kpu tonton film berkalikali ubah skenario
@Metro_TV Data pemilih yang terus bocor adalah refleksi dari kelemahan yang mengakar dalam sistem keamanan yang diusung oleh Kominfo dan KPU.,MetroTV Data pemilih yang terus bocor adalah refleksi dari kelemahan yang mengakar dalam sistem keamanan yang diusung oleh Kominfo dan KPU,"['metrotv', 'data', 'pemilih', 'yang', 'terus', 'bocor', 'adalah', 'refleksi', 'dari', 'kelemahan', 'yang', 'mengakar', 'dalam', 'sistem', 'keamanan', 'yang', 'diusung', 'oleh', 'kominfo', 'dan', 'kpu']","['metrotv', 'data', 'pemilih', 'bocor', 'refleksi', 'kelemahan', 'mengakar', 'sistem', 'keamanan', 'diusung', 'kominfo', 'kpu']",metrotv data pilih bocor refleksi lemah akar sistem aman usung kominfo kpu
"Duh, sistem keamanan KPU yang katanya aman tapi kok data pemilih masih bisa bocor ya?   Saksikan #HotroomMetroTV episode “Data Pemilih Diretas, Pemilu Hilang Integritas? di https://t.co/knaEYutnHk  #kpu #hacker #pemilu https://t.co/txTWqkglSp""",Duh sistem keamanan KPU yang katanya aman tapi kok data pemilih masih bisa bocor ya   Saksikan HotroomMetroTV episode “Data Pemilih Diretas Pemilu Hilang Integritas di   kpu hacker pemilu ,"['duh', 'sistem', 'keamanan', 'kpu', 'yang', 'katanya', 'aman', 'tapi', 'kok', 'data', 'pemilih', 'masih', 'bisa', 'bocor', 'ya', 'saksikan', 'hotroommetrotv', 'episode', '“data', 'pemilih', 'diretas', 'pemilu', 'hilang', 'integritas', 'di', 'kpu', 'hacker', 'pemilu']","['duh', 'sistem', 'keamanan', 'kpu', 'aman', 'data', 'pemilih', 'bocor', 'ya', 'saksikan', 'hotroommetrotv', 'episode', '“data', 'pemilih', 'diretas', 'pemilu', 'hilang', 'integritas', 'kpu', 'hacker', 'pemilu']",duh sistem aman kpu aman data pilih bocor ya saksi hotroommetrotv episode data pilih retas milu hilang integritas kpu hacker milu
"Data 204 Juta Pemilih Bocor, KAMMI Laporkan KPU ke Bawaslu  https://t.co/7fmDcON2kb",Data  Juta Pemilih Bocor KAMMI Laporkan KPU ke Bawaslu  ,"['data', 'juta', 'pemilih', 'bocor', 'kammi', 'laporkan', 'kpu', 'ke', 'bawaslu']","['data', 'juta', 'pemilih', 'bocor', 'kammi', 'laporkan', 'kpu', 'bawaslu']",data juta pilih bocor kammi lapor kpu bawaslu
